"","Country","Happiness.Rank","Happiness.Score","Whisker.high","Whisker.low","Economy..GDP.per.Capita.","Family","Health..Life.Expectancy.","Freedom","Generosity","Trust..Government.Corruption.","Dystopia.Residual","Region","Surface.area..km2.","Population.in.thousands..2017.","Population.density..per.km2..2017.","Sex.ratio..m.per.100.f..2017.","GDP..Gross.domestic.product..million.current.US..","GDP.growth.rate..annual....const..2005.prices.","GDP.per.capita..current.US..","Economy..Agriculture....of.GVA.","Economy..Industry....of.GVA.","Economy..Services.and.other.activity....of.GVA.","Employment..Agriculture....of.employed.","Employment..Industry....of.employed.","Employment..Services....of.employed.","Unemployment....of.labour.force.","Labour.force.participation..female.male.pop....","Agricultural.production.index..2004.2006.100.","Food.production.index..2004.2006.100.","International.trade..Exports..million.US..","International.trade..Imports..million.US..","International.trade..Balance..million.US..","Balance.of.payments..current.account..million.US..","Population.growth.rate..average.annual...","Urban.population....of.total.population.","Urban.population.growth.rate..average.annual...","Fertility.rate..total..live.births.per.woman.","Life.expectancy.at.birth..females.males..years.","Population.age.distribution..0.14...60..years....","International.migrant.stock..000...of.total.pop..","Refugees.and.others.of.concern.to.UNHCR..in.thousands.","Infant.mortality.rate..per.1000.live.births","Health..Total.expenditure....of.GDP.","Health..Physicians..per.1000.pop..","Education..Government.expenditure....of.GDP.","Education..Primary.gross.enrol..ratio..f.m.per.100.pop..","Education..Secondary.gross.enrol..ratio..f.m.per.100.pop..","Education..Tertiary.gross.enrol..ratio..f.m.per.100.pop..","Seats.held.by.women.in.national.parliaments..","Mobile.cellular.subscriptions..per.100.inhabitants.","Mobile.cellular.subscriptions..per.100.inhabitants..1","Individuals.using.the.Internet..per.100.inhabitants.","Threatened.species..number.","Forested.area....of.land.area.","CO2.emission.estimates..million.tons.tons.per.capita.","Energy.production..primary..Petajoules.","Energy.supply.per.capita..Gigajoules.","Pop..using.improved.drinking.water..urban.rural....","Pop..using.improved.sanitation.facilities..urban.rural....","Net.Official.Development.Assist..received....of.GNI."
"1","Norway",1,7.53700017929077,7.59444482058287,7.47955553799868,1.61646318435669,1.53352355957031,0.796666502952576,0.635422587394714,0.36201223731041,0.315963834524155,2.27702665328979,"NorthernEurope","386194",5305,14.5,101.8,386578,"1.6",74185.5,"1.8",34.6,63.5,"2.2","20.2","77.6","5.1","61.1/68.3",103,104,"89120","72473","16647","33746","1.2",80.5,"1.3","1.8","83.6/79.5","17.8/22.3","741.8/14.2","73.2","2.4",9.7,"4.4","7.4","100.3/100.5","111.1/114.7","91.5/62.8",39.6,"113.6","96.8",64,"33.2","47.6/9.2",8204,233,"100.0/100.0","98.0/98.3","-99",-99
"2","Denmark",2,7.52199983596802,7.58172806486487,7.46227160707116,1.48238301277161,1.55112159252167,0.792565524578094,0.626006722450256,0.355280488729477,0.40077006816864,2.31370735168457,"NorthernEurope","42921",5734,135.1,99,301308,"1.6",53149.3,"1.2",22.9,75.8,"2.4","19.2","78.4","6.0","58.1/66.0",105,105,"94355","85133","9222","27582","0.5",87.7,"0.6","1.7","82.2/78.1","16.5/25.3","572.5/10.1","48.2","3.5",10.8,"3.6","8.6","100.7/102.3","133.4/128.3","96.3/69.7",37.4,"128.3","96.3",47,"14.4","33.5/5.9",666,119,"100.0/100.0","99.6/99.6","-99",-99
"3","Iceland",3,7.50400018692017,7.62203047305346,7.38596990078688,1.480633020401,1.6105740070343,0.833552122116089,0.627162635326385,0.475540220737457,0.153526559472084,2.32271528244019,"NorthernEurope","103000",335,3.3,100.7,16780,"4.2",50936,"6.4",24,69.7,"4.0","17.7","78.2","3.6","70.3/77.2",117,117,"4450","5703","-1254","854","0.6",94.1,"1.3","2.0","83.8/80.6","20.1/20.1","37.5/11.4","0.5","1.6",8.9,"3.8","7.8","98.6/99.7","121.0/116.3","103.1/60.2",47.6,"114.0","98.2",27,"0.5","2.0/6.1",284,952,"100.0/100.0","98.7/100.0","-99",-99
"4","Switzerland",4,7.49399995803833,7.56177242040634,7.42622749567032,1.56497955322266,1.51691174507141,0.858131289482117,0.620070576667786,0.290549278259277,0.367007285356522,2.2767162322998,"WesternEurope","41291",8476,214.5,98.2,670790,"0.8",80831.1,"0.7",25.5,73.8,"3.5","20.4","76.1","4.6","62.5/74.5",106,106,"304691","269157","35534","77378","1.2",73.9,"1.1","1.5","84.8/80.5","14.9/24.1","2438.7/29.4","110.1","3.9",11.7,"4.1","5.1","103.8/104.1","99.4/103.0","58.5/56.9",32.5,"142.0","88.0",74,"31.6","35.3/4.3",552,126,"100.0/100.0","99.9/99.8","-99",-99
"5","Finland",5,7.4689998626709,7.52754207581282,7.41045764952898,1.44357192516327,1.5402467250824,0.80915766954422,0.617950856685638,0.24548277258873,0.38261154294014,2.4301815032959,"NorthernEurope","338440",5523,18.2,97.2,231960,"0.2",42148.1,"2.5",26.8,70.6,"4.2","22.0","73.8","8.9","54.5/61.7",101,101,"57326","60502","-3176","-979","0.4",84.2,"0.5","1.8","83.7/77.7","16.4/27.8","315.9/5.7","32.6","2.3",9.7,"3.0","7.2","101.4/101.7","156.3/142.8","95.6/79.3",42,"135.5","92.7",36,"73.1","47.3/8.6",757,257,"100.0/100.0","99.4/88.0","-99",-99
"6","Netherlands",6,7.3769998550415,7.42742584124207,7.32657386884093,1.50394463539124,1.42893922328949,0.810696125030518,0.585384488105774,0.470489829778671,0.282661825418472,2.29480409622192,"WesternEurope","41542",17036,505.2,99,750318,"2.0",44332.1,"1.8",20,78.2,"2.2","15.9","81.9","5.6","57.3/69.7",115,115,"511714","420969","90745","65129","0.3",90.5,"1.0","1.7","83.1/79.4","16.4/25.0","1979.5/11.7","116.3","3.5",10.9,"3.4","5.5","104.4/105.0","136.3/134.7","82.5/74.7",38,"123.5","93.1",40,"11.1","167.3/9.9",2447,178,"100.0/100.0","97.5/99.9","-99",-99
"7","Canada",7,7.31599998474121,7.38440283536911,7.24759713411331,1.47920441627502,1.48134899139404,0.83455765247345,0.611100912094116,0.435539722442627,0.287371516227722,2.18726444244385,"NorthernAmerica","9984670",36624,4,98.5,1552808,"0.9",43205.6,"1.8",28.6,69.6,"2.1","19.5","78.4","7.1","60.7/69.9",109,109,"388911","402954","-14043","-53083","1.0",81.8,"1.2","1.6","83.8/79.7","16.0/23.5","7835.5/21.8","155.8","4.7",10.4,"2.5","5.3","101.1/100.1","110.0/109.8",".../...",26.3,"81.9","88.5",122,"38.2","537.2/15.1",19276,324,"100.0/99.0","100.0/99.0","-99",-99
"8","New Zealand",8,7.31400012969971,7.3795104418695,7.24848981752992,1.40570604801178,1.54819512367249,0.816759705543518,0.614062130451202,0.500005125999451,0.382816702127457,2.0464563369751,"Oceania","268107",4706,17.9,96.7,173417,"3.1",38294.3,"6.5",23,70.6,"5.9","21.4","72.6","5.5","62.1/72.8",116,118,"33833","36423","-2589","-5501","1.1",86.3,"1.0","2.0","83.1/79.5","19.8/20.8","1039.7/23.0","1.7","4.4",11,"2.9","6.4","99.1/99.6","119.9/113.4","96.7/71.6",34.2,"121.8","88.2",199,"38.6","34.7/7.7",783,207,"100.0/100.0","-99","-99",-99
"9","Sweden",9,7.28399991989136,7.34409487739205,7.22390496239066,1.49438726902008,1.47816216945648,0.830875158309937,0.612924098968506,0.385399252176285,0.384398728609085,2.09753799438477,"NorthernEurope","438574",9911,24.2,100.2,495694,"4.1",50687.5,"1.3",26.3,72.4,"1.8","18.2","79.9","7.3","60.7/68.0",100,100,"139574","140838","-1263","23250","0.8",85.8,"0.8","1.9","83.7/80.0","17.5/25.5","1639.8/16.8","348.5","2.4",11.9,"4.1","7.7","125.6/120.6","150.0/131.5","75.7/49.6",43.6,"130.4","90.6",54,"68.9","43.4/4.5",1428,206,"100.0/100.0","99.2/99.6","-99",-99
"10","Australia",10,7.28399991989136,7.35665122494102,7.2113486148417,1.484414935112,1.51004195213318,0.84388679265976,0.601607382297516,0.477699249982834,0.301183730363846,2.06521081924438,"Oceania","7692060",24451,3.2,99.3,1230859,"2.4",51352.2,"2.5",26.5,71.1,"2.7","21.2","76.1","5.5","58.4/70.7",111,111,"189630","189406","224","-57746","1.5",89.4,"1.5","1.9","84.4/80.2","19.0/21.0","6763.7/28.2","58.2","3.9",9.4,"3.4","5.2","102.1/102.3","133.6/141.3","106.3/75.4",28.7,"132.8","84.6",948,"16.2","361.3/15.3",15282,222,"100.0/100.0","100.0/100.0","-99",-99
